we,893
this,643
what,567
captain,455
your,444
are,424
sir,400
all,393
data,383
if,382
but,377
its,369
me,367
im,356
can,349
no,329
were,327
us,327
dont,326
was,323
they,304
know,298
there,290
our,285
here,277
how,275
out,272
get,265
my,258
about,257
worf,252
mister,251
just,242
like,239
one,239
well,237
an,226
them,223
youre,222
think,211
enterprise,210
right,206
ship,202
will,201
going,198
would,198
up,195
been,193
thats,189
so,189
take,186
time,186
could,185
now,183
any,181
riker,177
want,173
why,167
ill,167
him,162
yes,158
more,156
way,155
then,149
ive,147
geordi,145
back,140
cant,139
something,139
lieutenant,137
when,136
has,136
see,135
commander,135
go,133
some,132
did,131
doctor,129
their,129
whats,126
bridge,120
down,119
or,117
weve,116
got,116
need,116
his,113
two,107
good,105
her,105
still,105
course,105
first,104
anything,103
had,102
lets,102
should,102
beam,101
who,100
than,99
over,97
make,97
very,97
sure,95
find,95
maybe,94
id,93
only,92
come,92
didnt,92
computer,92
into,91
la,91
where,90
away,90
ensign,90
long,89
she,89
may,89
forge,88
hes,87
theres,86
tell,85
these,85
theyre,83
people,82
warp,82
shields,82
three,82
might,81
transporter,80
ready,79
try,79
before,78
look,78
too,78
help,78
little,78
much,76
power,76
never,75
say,75
officer,71
happened,70
through,69
off,68
set,68
crusher,68
let,67
even,67
must,67
enough,67
life,66
give,66
thought,65
nothing,65
those,64
federation,64
room,63
better,63
thank,62
hell,62
youve,62
which,60
youll,60
aboard,59
talk,59
picard,59
said,57
believe,57
report,56
am,56
starfleet,55
troi,55
team,55
isnt,55
aye,54
other,54
put,54
thing,53
five,53
shuttle,53
another,52
mean,52
alert,52
keep,52
planet,51
crew,51
far,51
last,51
kind,51
remember,50
wont,50
sorry,49
doesnt,49
fire,48
system,48
prepare,48
sensors,48
man,48
again,48
years,47
deanna,47
security,47
wrong,46
leave,46
does,45
understand,45
left,45
work,44
position,44
made,44
call,44
hours,44
really,44
ships,43
same,43
point,43
wouldnt,43
able,42
phasers,42
being,42
someone,42
mind,41
use,41
hope,41
until,40
after,40
ever,40
new,40
move,39
command,39
borg,39
around,39
orbit,38
bring,38
impulse,38
stay,38
engines,38
trying,38
klingon,38
feel,38
own,37
full,37
because,37
four,37
getting,37
start,37
transport,37
hundred,37
obrien,37
doing,36
anyone,36
problem,36
systems,36
engineering,36
lot,36
stand,35
many,35
exactly,35
counselor,35
minutes,35
open,35
william,35
few,35
chief,34
yet,34
next,34
hold,34
youd,34
control,34
shes,34
soon,33
everything,33
place,33
without,33
energize,33
chance,33
days,33
screen,33
ferengi,33
quarters,33
knew,32
beverly,32
wesley,32
havent,32
wait,32
contact,32
under,32
probably,31
part,31
real,31
found,31
wasnt,31
seen,31
every,31
red,31
lock,31
station,31
almost,31
return,31
hear,31
things,31
six,31
already,31
please,31
medical,30
ten,30
admiral,30
stop,30
ahead,30
risk,30
possible,29
dead,29
probe,29
seems,29
least,29
ask,29
ago,29
else,29
romulans,29
night,29
always,29
wanted,29
check,28
emergency,28
choice,28
guess,28
agreed,28
day,28
board,28
answer,28
space,28
best,28
mission,28
orders,28
coordinates,28
most,28
speed,28
damage,28
idea,27
signal,27
field,27
looks,27
while,27
situation,27
pretty,27
came,27
energy,27
close,26
looking,26
waiting,26
vessel,26
once,26
deck,26
sickbay,26
status,26
welcome,26
meet,25
record,25
understood,25
main,25
show,25
romulan,25
past,25
order,25
hard,25
saying,25
coming,25
later,25
friend,25
ambassador,25
okay,25
both,24
oh,24
forward,24
cargo,24
nine,24
excuse,24
old,24
starship,24
send,23
heard,23
others,23
fine,23
run,23
range,23
feeling,23
lost,23
couldnt,23
used,23
surface,23
sensor,23
weapons,23
war,23
zone,22
care,22
also,22
engage,22
photon,22
uss,22
access,22
yeah,22
theyve,22
since,22
bay,22
reason,22
play,22
phaser,22
human,21
scan,21
yourself,21
head,21
fast,21
certain,21
gone,21
wish,21
game,21
battle,21
neutral,21
alone,21
sector,21
core,21
end,21
seven,21
fact,21
shut,21
minute,21
afraid,21
earth,20
went,20
certainly,20
voice,20
holodeck,20
whatever,20
happen,20
great,20
woman,20
nice,20
hand,20
change,20
clear,20
eight,20
starbase,20
join,20
captains,20
important,20
none,20
wonder,19
behind,19
source,19
begin,19
having,19
death,19
